name,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31,2018-11-01
JamesTanm,15,27,83,57,120,0
BigAB,15,23,13,14,46,41
seanb,24,25,10,32,62,0
Jonny,5,3,37,52,76,20
Ultimate Ryan Legacy,3,12,100,33,120,75
marshallw,5,16,54,13,11,21
Chad McCallum (ODAM),10,10,9,12,9,0
Justin Cooney,1,5,2,3,7,13
michaelreldred,0,0,0,1,2,2
Nathan,2,0,1,0,7,3
MarkG,24,48,112,74,34,42
Ampersandre,2,0,20,1,16,13
corypae,16,11,72,77,1,0
Avein,26,22,67,34,0,0
"Fodius""ThatBoor""Poorman(Rachel)",7,47,213,1,0,0
Crystillictorment - Jess,5,8,68,0,0,0
bossr7,3,21,0,0,0,0
Jon Hack,13,6,0,0,0,0
